Name Party,Code,C,Vote Count 1 2,Ab/Aff/Spec/Fed,Total Voters,Total,H,I,J,K,
SCHUMER INDEP,4/2/2017,16,0 1,,,,,,17,,
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total,,,
,,Huron,,29,0,4,,33,,,
SCHUMER,INDEP,5/1/2017,,16,0,0,,16,,,
SCHUMER,INDEP,5/2/2017,,3,0,1,,4,,,
SCHUMER,INDEP,5/3/2017,,6,0,1,,7,,,
SCHUMER,INDEP,5/4/2017,,20,0,0,,20,,,
SCHUMER,INDEP,5/5/2017,,15,0,2,,17,,,
,,Lyons,,60,0,4,,64,,,
SCHUMER,INDEP,6/1/2017,,4,8,0,,12,,,
SCHUMER,INDEP,6/2/2017,,10,18,1,,29,,,
SCHUMER,INDEP,6/3/2017,,9,11,2,,22,,,
SCHUMER,INDEP,6/4/2017,,10,6,2,,18,,,
SCHUMER,INDEP,6/5/2017,,22,0,1,,23,,,
,,Macedon,,55,43,6,,104,,,
SCHUMER,INDEP,7/1/2017,,17,0,0,,17,,,
SCHUMER,INDEP,7/2/2017,,23,0,0,,23,,,
SCHUMER,INDEP,7/3/2017,,15,0,1,,16,,,
SCHUMER,INDEP,7/4/2017,,15,0,1,,16,,,
,,Marion,,70,0,2,,72,,,
SCHUMER,INDEP,8/1/2017,,7,8,0,,15,,,
SCHUMER,INDEP,8/2/2017,,17,0,1,,18,,,
SCHUMER,INDEP,8/3/2017,,29,0,0,,29,,,
SCHUMER,INDEP,8/4/2017,,17,0,0,,17,,,
SCHUMER,INDEP,8/5/2017,,13,0,2,,15,,,
SCHUMER,INDEP,8/6/2017,,20,7,2,,29,,,
,,Ontario,,103,15,5,,123,,,
SCHUMER,INDEP,9/1/2017,,4,10,2,,16,,,
SCHUMER,INDEP,9/2/2017,,8,16,1,,25,,,
SCHUMER,INDEP,9/3/2017,,7,5,0,,12,,,
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total,,,
SCHUMER,INDEP,9/4/2017,,10,13,1,,24,,,
SCHUMER,INDEP,9/5/2017,,20,0,0,,20,,,
SCHUMER,INDEP,9/6/2017,,8,5,1,,14,,,
,,Palmyra,,57,49,5,,111,,,
SCHUMER,INDEP,10/1/2017,,19,0,2,,21,,,
SCHUMER,INDEP,10/2/2017,,21,0,0,,21,,,
,,Rose,,40,0,2,,42,,,
SCHUMER,INDEP,11/1/2017,,8,0,1,,9,,,
SCHUMER,INDEP,11/2/2017,,8,0,1,,9,,,
,,Savannah,,16,0,2,,18,,,
SCHUMER,INDEP,12/1/2017,,14,0,0,,14,,,
SCHUMER,INDEP,12/2/2017,,5,10,0,,15,,,
SCHUMER,INDEP,12/3/2017,,6,9,3,,18,,,
SCHUMER,INDEP,12/4/2017,,14,0,0,,14,,,
SCHUMER,INDEP,12/5/2017,,7,6,1,,14,,,
SCHUMER,INDEP,12/6/2017,,7,8,0,,15,,,
,,Sodus,,53,33,4,,90,,,
SCHUMER,INDEP,13 01,,6,24,0,,30,,,
SCHUMER,INDEP,13 02,,36,17,5,,58,,,
SCHUMER,INDEP,13 03,,35,0,0,,35,,,
SCHUMER,INDEP,13 04,,21,0,0,,21,,,
SCHUMER,INDEP,13 05,,10,4,1,,15,,,
,,Walworth,,108,45,6,,159,,,
SCHUMER,INDEP,14 01,,16,6,1,,23,,,
SCHUMER,INDEP,14 02,,26,0,2,,28,,,
SCHUMER,INDEP,14 03,,16,7,2,,25,,,
SCHUMER,INDEP,14 04,,18,0,0,,18,,,
SCHUMER,INDEP,14 05,,19,0,0,,19,,,
Name Party,Code,Vote Count 1,2 Ab/Aff/Spec/Fed,Total Voters,,,,,Total,,
,Williamson,95,13 5,,,,,,113,,
SCHUMER INDEP,15 01,6,3/2/2017,,,,,,11,,
SCHUMER INDEP,15 02,2,2 0,,,,,,4,,
SCHUMER INDEP,15 03,8,4 0,,,,,,12,,
SCHUMER INDEP,15 04,9,3/1/2017,,,,,,13,,
,Wolcott,25,12/3/2017,,,,,,40,,
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,UNITED STATES SENATOR,,,Total,Pos,F02,1,188,,
Pos G02 UNITED STATES SENATOR,* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,,,,,,,,
SCHUMER WOME,1/1/2017,5,0 0,,,,,,5,,
SCHUMER WOME,1/2/2017,1,2 0,,,,,,3,,
SCHUMER WOME,1/3/2017,5,0 2,,,,,,7,,
SCHUMER WOME,1/4/2017,0,0 0,,,,,,0,,
SCHUMER WOME,1/5/2017,4,0 0,,,,,,4,,
SCHUMER WOME,1/6/2017,2,0 0,,,,,,2,,
SCHUMER WOME,1/7/2017,3,0 0,,,,,,3,,
SCHUMER WOME,1/8/2017,1,4 0,,,,,,5,,
SCHUMER WOME,1/9/2017,5,0 1,,,,,,6,,
SCHUMER WOME,1/10/2017,5,0 2,,,,,,7,,
,Arcadia,31,6/5/2017,,,,,,42,,
SCHUMER WOME,2/1/2017,3,0 1,,,,,,4,,
,Butler,3,0 1,,,,,,4,,
SCHUMER WOME,3/1/2017,2,0 0,,,,,,2,,
SCHUMER WOME,3/2/2017,0,1 0,,,,,,1,,
SCHUMER WOME,3/3/2017,1,2 0,,,,,,3,,
SCHUMER WOME,3/4/2017,0,0 0,,,,,,0,,
,Galen,3,3 0,,,,,,6,,
SCHUMER WOME,4/1/2017,0,0 0,,,,,,0,,
SCHUMER WOME,4/2/2017,3,0 1,,,,,,4,,
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total,,,
,,Huron,,3,0,1,,4,,,
SCHUMER,WOME,5/1/2017,,3,0,0,,3,,,
SCHUMER,WOME,5/2/2017,,2,0,0,,2,,,
SCHUMER,WOME,5/3/2017,,2,0,0,,2,,,
SCHUMER,WOME,5/4/2017,,5,0,2,,7,,,
SCHUMER,WOME,5/5/2017,,2,0,0,,2,,,
,,Lyons,,14,0,2,,16,,,
SCHUMER,WOME,6/1/2017,,5,5,1,,11,,,
SCHUMER,WOME,6/2/2017,,3,4,0,,7,,,
SCHUMER,WOME,6/3/2017,,4,2,1,,7,,,
SCHUMER,WOME,6/4/2017,,4,3,0,,7,,,
SCHUMER,WOME,6/5/2017,,6,0,0,,6,,,
,,Macedon,,22,14,2,,38,,,
SCHUMER,WOME,7/1/2017,,6,0,0,,6,,,
SCHUMER,WOME,7/2/2017,,6,0,1,,7,,,
SCHUMER,WOME,7/3/2017,,4,0,0,,4,,,
SCHUMER,WOME,7/4/2017,,7,0,0,,7,,,
,,Marion,,23,0,1,,24,,,
SCHUMER,WOME,8/1/2017,,2,3,0,,5,,,
SCHUMER,WOME,8/2/2017,,11,0,1,,12,,,
SCHUMER,WOME,8/3/2017,,7,0,0,,7,,,
SCHUMER,WOME,8/4/2017,,4,0,0,,4,,,
SCHUMER,WOME,8/5/2017,,9,0,1,,10,,,
SCHUMER,WOME,8/6/2017,,2,3,0,,5,,,
,,Ontario,,35,6,2,,43,,,
SCHUMER,WOME,9/1/2017,,2,1,0,,3,,,
SCHUMER,WOME,9/2/2017,,2,2,0,,4,,,
SCHUMER,WOME,9/3/2017,,1,3,0,,4,,,
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total,,,
SCHUMER,WOME,9/4/2017,,3,3,0,,6,,,
SCHUMER,WOME,9/5/2017,,5,0,1,,6,,,
SCHUMER,WOME,9/6/2017,,0,0,1,,1,,,
,,Palmyra,,13,9,2,,24,,,
SCHUMER,WOME,10/1/2017,,3,0,1,,4,,,
SCHUMER,WOME,10/2/2017,,3,0,0,,3,,,
,,Rose,,6,0,1,,7,,,
SCHUMER,WOME,11/1/2017,,1,0,0,,1,,,
SCHUMER,WOME,11/2/2017,,5,0,0,,5,,,
,,Savannah,,6,0,0,,6,,,
SCHUMER,WOME,12/1/2017,,4,0,1,,5,,,
SCHUMER,WOME,12/2/2017,,2,4,0,,6,,,
SCHUMER,WOME,12/3/2017,,1,4,1,,6,,,
SCHUMER,WOME,12/4/2017,,4,0,0,,4,,,
SCHUMER,WOME,12/5/2017,,4,2,0,,6,,,
SCHUMER,WOME,12/6/2017,,1,3,0,,4,,,
,,Sodus,,16,13,2,,31,,,
SCHUMER,WOME,13 01,,1,2,0,,3,,,
SCHUMER,WOME,13 02,,6,7,1,,14,,,
SCHUMER,WOME,13 03,,3,0,0,,3,,,
SCHUMER,WOME,13 04,,2,0,1,,3,,,
SCHUMER,WOME,13 05,,7,1,0,,8,,,
,,Walworth,,19,10,2,,31,,,
SCHUMER,WOME,14 01,,1,0,0,,1,,,
SCHUMER,WOME,14 02,,6,0,1,,7,,,
SCHUMER,WOME,14 03,,7,4,0,,11,,,
SCHUMER,WOME,14 04,,6,0,1,,7,,,
SCHUMER,WOME,14 05,,5,0,2,,7,,,
Name Party,Code,Vote Count 1,2 Ab/Aff/Spec/Fed,Total Voters,,,,,Total,,
,Williamson,25,4/4/2017,,,,,,33,,
SCHUMER WOME,15 01,1,1 0,,,,,,2,,
SCHUMER WOME,15 02,0,0 0,,,,,,0,,
SCHUMER WOME,15 03,2,0 0,,,,,,2,,
SCHUMER WOME,15 04,1,2 0,,,,,,3,,
,Wolcott,4,3 0,,,,,,7,,
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,UNITED STATES SENATOR,,,Total,Pos,G02,316,,
Pos H02 UNITED STATES SENATOR,* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,,,,,,,,
LONG REFOR,1/1/2017,3,0 0,,,,,,3,,
LONG REFOR,1/2/2017,1,2 0,,,,,,3,,
LONG REFOR,1/3/2017,1,0 0,,,,,,1,,
LONG REFOR,1/4/2017,1,0 0,,,,,,1,,
LONG REFOR,1/5/2017,4,0 0,,,,,,4,,
LONG REFOR,1/6/2017,3,0 1,,,,,,4,,
LONG REFOR,1/7/2017,3,0 0,,,,,,3,,
LONG REFOR,1/8/2017,0,0 0,,,,,,0,,
LONG REFOR,1/9/2017,1,0 0,,,,,,1,,
LONG REFOR,1/10/2017,1,0 0,,,,,,1,,
,Arcadia,18,2/1/2017,,,,,,21,,
LONG REFOR,2/1/2017,2,0 0,,,,,,2,,
,Butler,2,0 0,,,,,,2,,
LONG REFOR,3/1/2017,1,0 0,,,,,,1,,
LONG REFOR,3/2/2017,0,0 0,,,,,,0,,
LONG REFOR,3/3/2017,0,1 0,,,,,,1,,
LONG REFOR,3/4/2017,0,0 0,,,,,,0,,
,Galen,1,1 0,,,,,,2,,
LONG REFOR,4/1/2017,3,0 0,,,,,,3,,
LONG REFOR,4/2/2017,4,0 0,,,,,,4,,
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total,,,
,,Huron,,7,0,0,,7,,,
LONG,REFOR,5/1/2017,,1,0,0,,1,,,
LONG,REFOR,5/2/2017,,3,0,0,,3,,,
LONG,REFOR,5/3/2017,,0,0,1,,1,,,
LONG,REFOR,5/4/2017,,3,0,0,,3,,,
LONG,REFOR,5/5/2017,,0,0,0,,0,,,
,,Lyons,,7,0,1,,8,,,
LONG,REFOR,6/1/2017,,4,4,0,,8,,,
LONG,REFOR,6/2/2017,,0,4,1,,5,,,
LONG,REFOR,6/3/2017,,1,0,0,,1,,,
LONG,REFOR,6/4/2017,,4,0,1,,5,,,
LONG,REFOR,6/5/2017,,4,0,0,,4,,,
,,Macedon,,13,8,2,,23,,,
LONG,REFOR,7/1/2017,,3,0,0,,3,,,
LONG,REFOR,7/2/2017,,2,0,0,,2,,,
LONG,REFOR,7/3/2017,,3,0,0,,3,,,
LONG,REFOR,7/4/2017,,3,0,0,,3,,,
,,Marion,,11,0,0,,11,,,
LONG,REFOR,8/1/2017,,0,2,0,,2,,,
LONG,REFOR,8/2/2017,,2,0,0,,2,,,
LONG,REFOR,8/3/2017,,3,0,0,,3,,,
LONG,REFOR,8/4/2017,,0,0,1,,1,,,
LONG,REFOR,8/5/2017,,5,0,1,,6,,,
LONG,REFOR,8/6/2017,,4,1,0,,5,,,
,,Ontario,,14,3,2,,19,,,
LONG,REFOR,9/1/2017,,0,1,0,,1,,,
LONG,REFOR,9/2/2017,,1,1,0,,2,,,
LONG,REFOR,9/3/2017,,1,2,0,,3,,,
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total,,,
LONG,REFOR,9/4/2017,,2,2,0,,4,,,
LONG,REFOR,9/5/2017,,4,0,0,,4,,,
LONG,REFOR,9/6/2017,,0,1,0,,1,,,
,,Palmyra,,8,7,0,,15,,,
LONG,REFOR,10/1/2017,,3,0,0,,3,,,
LONG,REFOR,10/2/2017,,2,0,0,,2,,,
,,Rose,,5,0,0,,5,,,
LONG,REFOR,11/1/2017,,1,0,0,,1,,,
LONG,REFOR,11/2/2017,,1,0,0,,1,,,
,,Savannah,,2,0,0,,2,,,
LONG,REFOR,12/1/2017,,1,0,0,,1,,,
LONG,REFOR,12/2/2017,,0,2,0,,2,,,
LONG,REFOR,12/3/2017,,0,5,0,,5,,,
LONG,REFOR,12/4/2017,,3,0,0,,3,,,
LONG,REFOR,12/5/2017,,2,1,0,,3,,,
LONG,REFOR,12/6/2017,,0,1,0,,1,,,
,,Sodus,,6,9,0,,15,,,
LONG,REFOR,13 01,,5,4,0,,9,,,
LONG,REFOR,13 02,,2,2,0,,4,,,
LONG,REFOR,13 03,,3,0,0,,3,,,
LONG,REFOR,13 04,,3,0,0,,3,,,
LONG,REFOR,13 05,,0,0,0,,0,,,
,,Walworth,,13,6,0,,19,,,
LONG,REFOR,14 01,,1,0,0,,1,,,
LONG,REFOR,14 02,,4,0,0,,4,,,
LONG,REFOR,14 03,,1,0,1,,2,,,
LONG,REFOR,14 04,,2,0,0,,2,,,
LONG,REFOR,14 05,,3,0,0,,3,,,
Name Party,Code,Vote Count 1,2 Ab/Aff/Spec/Fed,Total Voters,,,,,Total,,
,Williamson,11,0 1,,,,,,12,,
LONG REFOR,15 01,0,0 0,,,,,,0,,
LONG REFOR,15 02,0,0 0,,,,,,0,,
LONG REFOR,15 03,2,1 0,,,,,,3,,
LONG REFOR,15 04,0,1 0,,,,,,1,,
,Wolcott,2,2 0,,,,,,4,,
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,UNITED STATES SENATOR,,,Total,Pos,H02,165,,
Pos I02 UNITED STATES SENATOR,* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,,,,,,,,
MERCED LIBERT,1/1/2017,9,0 0,,,,,,9,,
MERCED LIBERT,1/2/2017,1,1 0,,,,,,2,,
MERCED LIBERT,1/3/2017,7,0 0,,,,,,7,,
MERCED LIBERT,1/4/2017,5,0 0,,,,,,5,,
MERCED LIBERT,1/5/2017,5,0 0,,,,,,5,,
MERCED LIBERT,1/6/2017,4,0 1,,,,,,5,,
MERCED LIBERT,1/7/2017,2,0 0,,,,,,2,,
MERCED LIBERT,1/8/2017,2,1 0,,,,,,3,,
MERCED LIBERT,1/9/2017,5,0 0,,,,,,5,,
MERCED LIBERT,1/10/2017,4,0 0,,,,,,4,,
,Arcadia,44,2/1/2017,,,,,,47,,
MERCED LIBERT,2/1/2017,0,0 1,,,,,,1,,
,Butler,0,0 1,,,,,,1,,
MERCED LIBERT,3/1/2017,2,1 0,,,,,,3,,
MERCED LIBERT,3/2/2017,0,1/1/2017,,,,,,2,,
MERCED LIBERT,3/3/2017,1,3/1/2017,,,,,,5,,
MERCED LIBERT,3/4/2017,0,2 0,,,,,,2,,
,Galen,3,7/2/2017,,,,,,12,,
MERCED LIBERT,4/1/2017,1,0 0,,,,,,1,,
MERCED LIBERT,4/2/2017,7,0 0,,,,,,7,,
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total,,,
,,Huron,,8,0,0,,8,,,
MERCED,LIBERT,5/1/2017,,1,0,0,,1,,,
MERCED,LIBERT,5/2/2017,,1,0,1,,2,,,
MERCED,LIBERT,5/3/2017,,3,0,0,,3,,,
MERCED,LIBERT,5/4/2017,,6,0,1,,7,,,
MERCED,LIBERT,5/5/2017,,0,0,1,,1,,,
,,Lyons,,11,0,3,,14,,,
MERCED,LIBERT,6/1/2017,,2,10,1,,13,,,
MERCED,LIBERT,6/2/2017,,2,12,2,,16,,,
MERCED,LIBERT,6/3/2017,,3,6,0,,9,,,
MERCED,LIBERT,6/4/2017,,7,5,0,,12,,,
MERCED,LIBERT,6/5/2017,,5,0,0,,5,,,
,,Macedon,,19,33,3,,55,,,
MERCED,LIBERT,7/1/2017,,5,0,0,,5,,,
MERCED,LIBERT,7/2/2017,,3,0,1,,4,,,
MERCED,LIBERT,7/3/2017,,2,0,0,,2,,,
MERCED,LIBERT,7/4/2017,,5,0,0,,5,,,
,,Marion,,15,0,1,,16,,,
MERCED,LIBERT,8/1/2017,,3,4,0,,7,,,
MERCED,LIBERT,8/2/2017,,7,0,0,,7,,,
MERCED,LIBERT,8/3/2017,,7,0,0,,7,,,
MERCED,LIBERT,8/4/2017,,5,0,0,,5,,,
MERCED,LIBERT,8/5/2017,,5,0,0,,5,,,
MERCED,LIBERT,8/6/2017,,5,3,3,,11,,,
,,Ontario,,32,7,3,,42,,,
MERCED,LIBERT,9/1/2017,,7,2,0,,9,,,
MERCED,LIBERT,9/2/2017,,2,1,0,,3,,,
MERCED,LIBERT,9/3/2017,,10,1,1,,12,,,
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total,,,
MERCED,LIBERT,9/4/2017,,5,6,0,,11,,,
MERCED,LIBERT,9/5/2017,,6,0,0,,6,,,
MERCED,LIBERT,9/6/2017,,3,4,0,,7,,,
,,Palmyra,,33,14,1,,48,,,
MERCED,LIBERT,10/1/2017,,6,0,0,,6,,,
MERCED,LIBERT,10/2/2017,,1,0,0,,1,,,
,,Rose,,7,0,0,,7,,,
MERCED,LIBERT,11/1/2017,,2,0,0,,2,,,
MERCED,LIBERT,11/2/2017,,4,0,0,,4,,,
,,Savannah,,6,0,0,,6,,,
MERCED,LIBERT,12/1/2017,,6,0,1,,7,,,
MERCED,LIBERT,12/2/2017,,2,1,4,,7,,,
MERCED,LIBERT,12/3/2017,,1,4,0,,5,,,
MERCED,LIBERT,12/4/2017,,3,0,0,,3,,,
MERCED,LIBERT,12/5/2017,,5,2,2,,9,,,
MERCED,LIBERT,12/6/2017,,6,3,0,,9,,,
,,Sodus,,23,10,7,,40,,,
MERCED,LIBERT,13 01,,2,3,1,,6,,,
MERCED,LIBERT,13 02,,11,5,2,,18,,,
MERCED,LIBERT,13 03,,12,0,1,,13,,,
MERCED,LIBERT,13 04,,13,0,1,,14,,,
MERCED,LIBERT,13 05,,3,1,0,,4,,,
,,Walworth,,41,9,5,,55,,,
MERCED,LIBERT,14 01,,5,3,0,,8,,,
MERCED,LIBERT,14 02,,3,0,0,,3,,,
MERCED,LIBERT,14 03,,8,6,0,,14,,,
MERCED,LIBERT,14 04,,7,0,1,,8,,,
MERCED,LIBERT,14 05,,6,0,0,,6,,,
Name Party,Code,Vote Count 1,2 Ab/Aff/Spec/Fed,Total Voters,,,,,Total,,
,Williamson,29,9/1/2017,,,,,,39,,
MERCED LIBERT,15 01,1,0 1,,,,,,2,,
MERCED LIBERT,15 02,1,0 0,,,,,,1,,
MERCED LIBERT,15 03,2,1 0,,,,,,3,,
MERCED LIBERT,15 04,3,2/1/2017,,,,,,6,,
,Wolcott,7,3/2/2017,,,,,,12,,
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,UNITED STATES SENATOR,,,Total,Pos,I02,402,,
Pos J02 UNITED STATES SENATOR,* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,,,,,,,,
WRITE INS SCATT,1/1/2017,0,0 0,,,,,,0,,
WRITE INS SCATT,1/2/2017,0,0 0,,,,,,0,,
WRITE INS SCATT,1/3/2017,0,0 0,,,,,,0,,
WRITE INS SCATT,1/4/2017,0,0 0,,,,,,0,,
WRITE INS SCATT,1/5/2017,0,0 0,,,,,,0,,
WRITE INS SCATT,1/6/2017,0,0 0,,,,,,0,,
WRITE INS SCATT,1/7/2017,0,0 0,,,,,,0,,
WRITE INS SCATT,1/8/2017,0,0 0,,,,,,0,,
WRITE INS SCATT,1/9/2017,0,0 0,,,,,,0,,
WRITE INS SCATT,1/10/2017,0,0 0,,,,,,0,,
,Arcadia,0,0 0,,,,,,0,,
WRITE INS SCATT,2/1/2017,1,0 0,,,,,,1,,
,Butler,1,0 0,,,,,,1,,
WRITE INS SCATT,3/1/2017,0,0 0,,,,,,0,,
WRITE INS SCATT,3/2/2017,0,0 0,,,,,,0,,
WRITE INS SCATT,3/3/2017,0,0 0,,,,,,0,,
WRITE INS SCATT,3/4/2017,0,0 0,,,,,,0,,
,Galen,0,0 0,,,,,,0,,
WRITE INS SCATT,4/1/2017,0,0 0,,,,,,0,,
WRITE INS SCATT,4/2/2017,0,0 0,,,,,,0,,
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total,,,
,,Huron,,0,0,0,,0,,,
WRITE INS,SCATT,5/1/2017,,0,0,0,,0,,,
WRITE INS,SCATT,5/2/2017,,0,0,1,,1,,,
WRITE INS,SCATT,5/3/2017,,0,0,0,,0,,,
WRITE INS,SCATT,5/4/2017,,0,0,0,,0,,,
WRITE INS,SCATT,5/5/2017,,0,0,0,,0,,,
,,Lyons,,0,0,1,,1,,,
WRITE INS,SCATT,6/1/2017,,0,0,0,,0,,,
WRITE INS,SCATT,6/2/2017,,0,0,0,,0,,,
WRITE INS,SCATT,6/3/2017,,0,0,0,,0,,,
WRITE INS,SCATT,6/4/2017,,0,0,0,,0,,,
WRITE INS,SCATT,6/5/2017,,0,0,0,,0,,,
,,Macedon,,0,0,0,,0,,,
WRITE INS,SCATT,7/1/2017,,0,0,0,,0,,,
WRITE INS,SCATT,7/2/2017,,0,0,0,,0,,,
WRITE INS,SCATT,7/3/2017,,0,0,0,,0,,,
WRITE INS,SCATT,7/4/2017,,0,0,0,,0,,,
,,Marion,,0,0,0,,0,,,
WRITE INS,SCATT,8/1/2017,,0,0,0,,0,,,
WRITE INS,SCATT,8/2/2017,,0,0,0,,0,,,
WRITE INS,SCATT,8/3/2017,,0,0,0,,0,,,
WRITE INS,SCATT,8/4/2017,,0,0,0,,0,,,
WRITE INS,SCATT,8/5/2017,,0,0,0,,0,,,
WRITE INS,SCATT,8/6/2017,,0,0,0,,0,,,
,,Ontario,,0,0,0,,0,,,
WRITE INS,SCATT,9/1/2017,,0,0,0,,0,,,
WRITE INS,SCATT,9/2/2017,,1,0,0,,1,,,
WRITE INS,SCATT,9/3/2017,,0,0,0,,0,,,
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total,,,
WRITE INS,SCATT,9/4/2017,,0,0,0,,0,,,
WRITE INS,SCATT,9/5/2017,,0,0,0,,0,,,
WRITE INS,SCATT,9/6/2017,,0,0,0,,0,,,
,,Palmyra,,1,0,0,,1,,,
WRITE INS,SCATT,10/1/2017,,0,0,0,,0,,,
WRITE INS,SCATT,10/2/2017,,0,0,0,,0,,,
,,Rose,,0,0,0,,0,,,
WRITE INS,SCATT,11/1/2017,,0,0,0,,0,,,
WRITE INS,SCATT,11/2/2017,,0,0,0,,0,,,
,,Savannah,,0,0,0,,0,,,
WRITE INS,SCATT,12/1/2017,,0,0,0,,0,,,
WRITE INS,SCATT,12/2/2017,,0,0,0,,0,,,
WRITE INS,SCATT,12/3/2017,,0,0,0,,0,,,
WRITE INS,SCATT,12/4/2017,,0,0,0,,0,,,
WRITE INS,SCATT,12/5/2017,,0,0,0,,0,,,
WRITE INS,SCATT,12/6/2017,,0,0,0,,0,,,
,,Sodus,,0,0,0,,0,,,
WRITE INS,SCATT,13 01,,0,0,0,,0,,,
WRITE INS,SCATT,13 02,,0,0,0,,0,,,
WRITE INS,SCATT,13 03,,0,0,0,,0,,,
WRITE INS,SCATT,13 04,,0,0,0,,0,,,
WRITE INS,SCATT,13 05,,0,0,0,,0,,,
,,Walworth,,0,0,0,,0,,,
WRITE INS,SCATT,14 01,,1,0,0,,1,,,
WRITE INS,SCATT,14 02,,0,0,0,,0,,,
WRITE INS,SCATT,14 03,,0,0,0,,0,,,
WRITE INS,SCATT,14 04,,0,0,0,,0,,,
WRITE INS,SCATT,14 05,,0,0,0,,0,,,
Name Party,Code,Vote Count 1,2 Ab/Aff/Spec/Fed,Total Voters,,,,,Total,,
,Williamson,1,0 0,,,,,,1,,
WRITE INS SCATT,15 01,0,0 0,,,,,,0,,
WRITE INS SCATT,15 02,0,0 0,,,,,,0,,
WRITE INS SCATT,15 03,0,0 0,,,,,,0,,
WRITE INS SCATT,15 04,0,0 0,,,,,,0,,
,Wolcott,0,0 0,,,,,,0,,
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,UNITED STATES SENATOR,,,Total,Pos,J02,,4,
Pos K02 UNITED STATES SENATOR,* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,,,,,,,,
OVERVOTES/VOIDS VOIDS/,1/1/2017,1,0 0,,,,,,1,,
OVERVOTES/VOIDS VOIDS/,1/2/2017,0,0 1,,,,,,1,,
OVERVOTES/VOIDS VOIDS/,1/3/2017,0,0 0,,,,,,0,,
OVERVOTES/VOIDS VOIDS/,1/4/2017,0,0 0,,,,,,0,,
OVERVOTES/VOIDS VOIDS/,1/5/2017,0,0 0,,,,,,0,,
OVERVOTES/VOIDS VOIDS/,1/6/2017,0,0 0,,,,,,0,,
OVERVOTES/VOIDS VOIDS/,1/7/2017,1,0 0,,,,,,1,,
OVERVOTES/VOIDS VOIDS/,1/8/2017,0,1/1/2017,,,,,,2,,
OVERVOTES/VOIDS VOIDS/,1/9/2017,0,0 0,,,,,,0,,
OVERVOTES/VOIDS VOIDS/,1/10/2017,0,0 0,,,,,,0,,
,Arcadia,2,1/2/2017,,,,,,5,,
OVERVOTES/VOIDS VOIDS/,2/1/2017,0,0 0,,,,,,0,,
,Butler,0,0 0,,,,,,0,,
OVERVOTES/VOIDS VOIDS/,3/1/2017,0,2 0,,,,,,2,,
OVERVOTES/VOIDS VOIDS/,3/2/2017,0,0 0,,,,,,0,,
OVERVOTES/VOIDS VOIDS/,3/3/2017,0,0 0,,,,,,0,,
OVERVOTES/VOIDS VOIDS/,3/4/2017,0,0 0,,,,,,0,,
,Galen,0,2 0,,,,,,2,,
OVERVOTES/VOIDS VOIDS/,4/1/2017,0,0 0,,,,,,0,,
OVERVOTES/VOIDS VOIDS/,4/2/2017,0,0 0,,,,,,0,,
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total,,,
,,Huron,,0,0,0,,0,,,
OVERVOTES/VOIDS,VOIDS/,5/1/2017,,0,0,1,,1,,,
OVERVOTES/VOIDS,VOIDS/,5/2/2017,,1,0,0,,1,,,
OVERVOTES/VOIDS,VOIDS/,5/3/2017,,0,0,1,,1,,,
OVERVOTES/VOIDS,VOIDS/,5/4/2017,,2,0,1,,3,,,
OVERVOTES/VOIDS,VOIDS/,5/5/2017,,0,0,0,,0,,,
,,Lyons,,3,0,3,,6,,,
OVERVOTES/VOIDS,VOIDS/,6/1/2017,,0,2,0,,2,,,
OVERVOTES/VOIDS,VOIDS/,6/2/2017,,0,0,1,,1,,,
